Country,City,Longtitude,Latitude,Temperature,Cloudiness,Humidity,Wind Speed
NA,Lüderitz,15.1594,-26.6481,295.31,54,50,3.62
CL,Punta Arenas,-70.9167,-53.15,276.21,20,81,8.75
JP,Tanabe,135.3667,33.7333,297.0,75,80,0.45
TO,Vaini,-175.2,-21.2,296.24,75,94,3.09
RU,Provideniya,-173.3,64.3833,275.3,100,98,3.58
PF,Rikitea,-134.9692,-23.1203,297.09,100,71,7.06
BR,São Marcos,-51.0681,-28.9711,283.23,0,88,1.42
PG,Kavieng,150.7967,-2.5744,301.32,7,74,5.31
CA,Thompson,-97.8558,55.7435,281.24,90,93,1.54
AU,Busselton,115.3333,-33.65,282.64,93,51,8.65
AU,Carnarvon,113.6333,-24.8667,291.19,0,58,5.14
AU,New Norfolk,147.0587,-42.7826,283.53,100,84,0.54
IS,Husavik,-17.3389,66.0449,276.1,100,74,5.38
PF,Atuona,-139.0333,-9.8,299.6,30,71,10.25
AR,Mar del Plata,-57.5575,-38.0023,285.5,90,82,1.34
BR,Canguçu,-52.6756,-31.395,282.79,0,82,1.49
US,Laguna,-121.4238,38.421,290.57,1,88,0.89
BB,Bathsheba,-59.5167,13.2167,300.49,40,65,10.29
GF,Sinnamary,-52.95,5.3833,299.64,65,82,1.94
AR,Ushuaia,-68.3,-54.8,275.96,75,87,9.77
PF,Faanui,-151.75,-16.4833,300.05,68,77,7.34
CO,San Onofre,-75.5263,9.7359,297.59,97,91,2.68
US,Hilo,-155.09,19.7297,294.81,90,88,2.06
GY,Mabaruma,-59.7833,8.2,297.37,80,93,1.12
ID,Sabang,95.3214,5.8933,302.14,90,76,7.7
RE,Saint-Philippe,55.7679,-21.3585,299.14,72,68,7.47
ID,Meulaboh,96.1285,4.1363,301.75,92,75,3.3
US,Albany,-73.9662,42.6001,289.23,100,93,2.7
US,Kahului,-156.47,20.8947,295.53,90,86,5.14
UG,Masindi,31.715,1.6744,302.49,93,42,0.54
RU,Urusha,122.9,54.05,288.72,100,98,1.27
RU,Lavrentiya,-171.0,65.5833,274.57,100,99,2.85
